2014-04-16 20:35:56 status half-installed bash:amd64 4.3-6ubuntu1
2014-04-16 20:35:56 status unpacked bash:amd64 4.3-6ubuntu1
2014-04-16 20:35:56 status unpacked bash:amd64 4.3-6ubuntu1
2014-04-16 20:35:56 install bsdutils:amd64 <none> 1:2.20.1-5.1ubuntu20
2014-04-16 20:35:56 status half-installed bsdutils:amd64 1:2.20.1-5.1ubuntu20
2014-04-16 20:35:56 status unpacked bsdutils:amd64 1:2.20.1-5.1ubuntu20
2014-04-16 20:35:56 status unpacked bsdutils:amd64 1:2.20.1-5.1ubuntu20
2014-04-16 20:35:56 install busybox-initramfs:amd64 <none> 1:1.21.0-1ubuntu1
2014-04-16 20:35:56 status half-installed busybox-initramfs:amd64 1:1.21.0-1ubuntu1
2014-04-16 20:35:56 status unpacked busybox-initramfs:amd64 1:1.21.0-1ubuntu1
2014-04-16 20:35:56 status unpacked busybox-initramfs:amd64 1:1.21.0-1ubuntu1
2014-04-16 20:35:56 install coreutils:amd64 <none> 8.21-1ubuntu5
2014-04-16 20:35:56 status half-installed coreutils:amd64 8.21-1ubuntu5
2014-04-16 20:35:56 status unpacked coreutils:amd64 8.21-1ubuntu5
2014-04-16 20:35:56 status unpacked coreutils:amd64 8.21-1ubuntu5
2014-04-16 20:35:56 install cpio:amd64 <none> 2.11+dfsg-1ubuntu1
2014-04-16 20:35:56 status half-installed cpio:amd64 2.11+dfsg-1ubuntu1
2014-04-16 20:35:56 status unpacked cpio:amd64 2.11+dfsg-1ubuntu1
2014-04-16 20:35:56 status unpacked cpio:amd64 2.11+dfsg-1ubuntu1
2014-04-16 20:35:56 install dash:amd64 <none> 0.5.7-4ubuntu1
2014-04-16 20:35:56 status half-installed dash:amd64 0.5.7-4ubuntu1
2014-04-16 20:35:56 status unpacked dash:amd64 0.5.7-4ubuntu1
2014-04-16 20:35:56 status unpacked dash:amd64 0.5.7-4ubuntu1
2014-04-16 20:35:56 install debconf:all <none> 1.5.51ubuntu2
2014-04-16 20:35:56 status half-installed debconf:all 1.5.51ubuntu2
2014-04-16 20:35:56 status unpacked debconf:all 1.5.51ubuntu2
